berg_id,date,lat,lon,size_1,size_2,gap_days,u_berg,v_berg,u_wind,v_wind,u_curr,v_curr,prev_u,prev_v,prev_speed
b09f,2015-10-09,-74.8,-27.6667,21.0,8.0,7,0.0056317975463744,0.0030531068121693,-0.858154296875,2.028961181640625,-0.0128177739679813,-0.0054933317005634,0.0137009508701369,-0.0060879315476184,0.01499263036542929
d21a,2015-10-09,-70.0833,4.6,21.0,5.0,7,-0.3333623550176216,0.1005514219576714,0.881103515625,4.573883056640625,-0.1068147830665111,-0.0152592547237873,-0.0157381292803461,-0.0152289699074063,0.021900005426610605
b34,2015-10-09,-75.7,-151.8167,15.0,5.0,7,-0.1007729475057029,-0.0365641534391539,3.897705078125,1.476226806640625,-0.0073244422674179,0.0036622211337089,-0.0381914150459219,-0.0213351835317476,0.043746705470734865
b15k,2015-10-09,-65.3833,-57.8667,16.0,3.0,7,0.0115004656000257,-0.0030531068121693,0.205322265625,-0.800140380859375,0.0280770286917686,-0.0054933317005634,0.0320014483428259,-0.0091410383597904,0.033281395378404945
b15t,2015-10-09,-74.8333,-26.2167,28.0,7.0,7,0.0096311042448081,-0.0030531068121693,-0.367919921875,2.932281494140625,-0.0195318460464477,-0.0109866634011268,0.0120776328846913,-0.0091410383597878,0.015146874211945141
b15r,2015-10-09,-59.8667,-28.5167,10.0,2.0,7,0.095487219206361,0.085322452050265,2.818603515625,-1.127288818359375,0.0061037018895149,0.039674062281847,0.0839722893323276,0.0517931233465602,0.09866039226409015
b31,2015-10-09,-71.2667,-106.9,18.0,11.0,7,0.021676963163513,-0.0030348247354491,-10.955810546875,-1.021820068359375,0.0299081392586231,-0.0262459181249141,-0.0327076904491909,-0.021335183531745,0.03905103162341984
b16,2015-10-09,-74.65,-28.4833,16.0,6.0,7,-0.0089359098777986,0.0182820767195782,-0.338623046875,2.083648681640625,-0.0250251777470111,0.0170903652906417,-0.0300748754255176,-0.0030531068121693,0.03022944910293466
c28b,2015-10-09,-74.4833,-27.35,21.0,14.0,7,-0.0237976034089027,0.0121758630952369,-0.653076171875,2.260406494140625,-0.0787377543747425,0.0231940671801567,-0.0131597473162458,-0.0060879315476184,0.014499719306108166
b15t,2015-10-16,-74.85,-26.0167,28.0,7.0,7,0.0,0.0,-0.195068359375,3.167633056640625,-0.0244148075580596,-0.0170903652906417,0.0096311042448081,-0.0030531068121693,0.010103446450636298
